ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
lk trăng về thôn dã - rước tình về với quê hương	hồng phượng đăng nguyên	lk-trang-ve-thon-da-ruoc-tinh-ve-voi-que-huong-dang-nguyen-hong-phuong
y.ê.u	mindy gledhill	y-e-u-mindy
mùi nước hoa lạ	dương ngọc thái vĩnh thuyên kim	mui-nuoc-hoa-la-duong-ngoc-thai-vinh-thuyen-kim
chỉ là hẹn ước	diệu linh khang lê	chi-la-hen-uoc-khang-le-dieu-linh
sa mưa giông (song ca)	nhã ca đình phước	sa-mua-giong-song-ca-dinh-phuoc-nha-ca
khóc cho cuộc tình	hồ xuân đào	khoc-cho-cuoc-tinh-ho-xuan-dao
chia tay tại ai	thiên trường - địa hải	chia-tay-tai-ai-thien-truong-dia-hai
lỗi tại mưa	diễm sương như ý	loi-tai-mua-diem-suong-nhu-y
anh nhớ mùa đông ấy	the men	anh-nho-mua-dong-ay-the-men
đau một lần để biết yêu một lần	vĩnh thuyên kim	dau-mot-lan-de-biet-yeu-mot-lan-vinh-thuyen-kim
lk sa mạc tình yêu, giấc mơ sa mạc	diễm sương don hồ	lk-sa-mac-tinh-yeu-giac-mo-sa-mac-diem-suong-don-ho
xuân về trên rừng núi	bé dương hoàng anh	xuan-ve-tren-rung-nui-be-duong-hoang-anh
tài lộc phát	vang quốc hải	tai-loc-phat-vang-quoc-hai
ô kìa đời bỗng vui	quốc đại	o-kia-doi-bong-vui-quoc-dai
trò chơi nước mắt	nam du	tro-choi-nuoc-mat-nam-du
mẹ ơi đừng bỏ con	bé như quỳnh	me-oi-dung-bo-con-be-nhu-quynh
cười ra nước mắt	lâm hùng	cuoi-ra-nuoc-mat-lam-hung
bài ca tiễn đưa	tiq	bai-ca-tien-dua-tiq
cùng anh	hagii ngọc dolil stee	cung-anh-ngoc-dolil-hagii-stee
khỏe vì nước	135 band	khoe-vi-nuoc-135-band
xuân trong mắt em	phương anh tống hạo nhiên	xuan-trong-mat-em-tong-hao-nhien-phuong-anh
tim anh vỡ tan	khánh đơn	tim-anh-vo-tan-khanh-don
sao em chưa về	hoàng việt trang	sao-em-chua-ve-hoang-viet-trang
che đậy	phan thiên ngân	che-day-phan-thien-ngan
đừng chờ nữa	lý thu thảo	dung-cho-nua-ly-thu-thao
em lại say rồi	ngânt	em-lai-say-roi-ngant
không cần phải nói ra	huỳnh nhật long	khong-can-phai-noi-ra-huynh-nhat-long
hãy yêu thương người kia	nhạc lam phong	hay-yeu-thuong-nguoi-kia-nhac-lam-phong
niềm đam mê	chí hào	niem-dam-me-chi-hao
nuôi con mới biết lòng cha mẹ	trần phi sơn	nuoi-con-moi-biet-long-cha-me-tran-phi-son
đâu có say	hoài linh hồng loan	dau-co-say-hoai-linh-hong-loan
vì sao cách xa	đoàn bá chí	vi-sao-cach-xa-doan-ba-chi
liên khúc trống vắng,tình cờ,một thời đã xa	phương thanh	lien-khuc-trong-vang-tinh-co-mot-thoi-da-xa-phuong-thanh
tình hẹn	trường kha	tinh-hen-truong-kha
hương nhạc sao mơ	nenita	huong-nhac-sao-mo-nenita
chia tay cũng là yêu	hà vy	chia-tay-cung-la-yeu-ha-vy
thơ hút thuốc	nhật cường	tho-hut-thuoc-nhat-cuong
anh cạn nước mắt rồi	lê vũ bình	anh-can-nuoc-mat-roi-le-vu-binh
love tình yêu khẽ nói	ngọc bảo anh	love-tinh-yeu-khe-noi-ngoc-bao-anh
em là ai trên con đường anh đi	nguyên khánh	em-la-ai-tren-con-duong-anh-di-nguyen-khanh
nước mắt có vị gì	lê tính	nuoc-mat-co-vi-gi-le-tinh
yêu trong ảo tưởng	nhật nguyệt band	yeu-trong-ao-tuong-nhat-nguyet-band
ừ thì yêu! (yes it's love)	tăng nhật tuệ	u-thi-yeu-yes-it-s-love-tang-nhat-tue
khi có em trong đời	cẩm ly	khi-co-em-trong-doi-cam-ly
quên câu muối mặn gừng cay	hiền trang	quen-cau-muoi-man-gung-cay-hien-trang
tìm dấu vết chân xưa	chu hoàng tuấn	tim-dau-vet-chan-xua-chu-hoang-tuan
mấy nhịp cầu tre	bảo nam cao công nghĩa	may-nhip-cau-tre-bao-nam-cao-cong-nghia
hoa trắng	diệu hiền	hoa-trang-dieu-hien
một niềm hy vọng	đông quân	mot-niem-hy-vong-dong-quan
còn lại gì sau chia ly	phương thu	con-lai-gi-sau-chia-ly-phuong-thu
hãy lắng nghe tình anh	hà chí tường	hay-lang-nghe-tinh-anh-ha-chi-tuong
anh quên mình đã chia tay	khắc việt	anh-quen-minh-da-chia-tay-khac-viet
xinh tươi việt nam (team bảo anh - addy trần - dj melo)	bảo anh	xinh-tuoi-viet-nam-team-bao-anh-addy-tran-dj-melo-bao-anh
trả nhẫn kim cương	gia lâm lâm gia linh	tra-nhan-kim-cuong-lam-gia-linh-gia-lam
quay gót âm thầm	anh tiến	quay-got-am-tham-anh-tien
chia tay khi còn yêu	trang tạ	chia-tay-khi-con-yeu-trang-ta
điện thoại đôi	tăng khả danh	dien-thoai-doi-tang-kha-danh
mùa hè đừng sầu muộn	nguyễn ngọc anh	mua-he-dung-sau-muon-nguyen-ngoc-anh
hoa phấn	minh trường nhã thi	hoa-phan-minh-truong-nha-thi
vì em vẫn còn thương anh	cẩm loan	vi-em-van-con-thuong-anh-cam-loan
điều duy nhất	nghiêm viết dũng	dieu-duy-nhat-nghiem-viet-dung
kỷ niệm chưa quên	minh long	ky-niem-chua-quen-minh-long
yêu không sai, thời điểm sai	dj vana trương việt thái	yeu-khong-sai-thoi-diem-sai-truong-viet-thai-dj-vana
mash up last christmas - món quà giáng sinh em ước là anh	hoàng diễm	mash-up-last-christmas-mon-qua-giang-sinh-em-uoc-la-anh-hoang-diem
lk như vẫn còn đây	đinh hùng cường	lk-nhu-van-con-day-dinh-hung-cuong
màn hai bắt đầu	ngân huệ	man-hai-bat-dau-ngan-hue
sẽ không	long quân	se-khong-long-quan
và em đã khóc	lâm băng phương	va-em-da-khoc-lam-bang-phuong
thề	lâm ngọc huỳnh	the-lam-ngoc-huynh
hạnh phúc do em chọn	sky nguyễn	hanh-phuc-do-em-chon-sky-nguyen
tháng ngày của mẹ	quang sơn	thang-ngay-cua-me-quang-son
tìm lại dĩ vãng	mai kha	tim-lai-di-vang-mai-kha
bóng dáng mẹ hiền	anh thư nguyễn	bong-dang-me-hien-anh-thu-nguyen
tết xa nhà	đình phước	tet-xa-nha-dinh-phuoc
lạnh bước	lâm hùng	lanh-buoc-lam-hung
vòng tay lỡ làng	trần gia khang	vong-tay-lo-lang-tran-gia-khang
liên khúc qua ngõ nhà em	đoàn minh	lien-khuc-qua-ngo-nha-em-doan-minh
nonstop mấy nhịp cầu tre	anh trường	nonstop-may-nhip-cau-tre-anh-truong
khúc mưa sầu	lưu ngọc hà	khuc-mua-sau-luu-ngoc-ha
mình dành cho nhau nỗi buồn	trungg i.u tuấn đinh	minh-danh-cho-nhau-noi-buon-trungg-i-u-tuan-dinh
cười để giấu nỗi đau	hàn thái tú	cuoi-de-giau-noi-dau-han-thai-tu
đêm khóc	hồ quang hiếu	dem-khoc-ho-quang-hieu
sắc màu	andre	sac-mau-andre
không ai yêu em nhiều hơn	duy khoa	khong-ai-yeu-em-nhieu-hon-duy-khoa
lk cầu vồng khuyết - đừng thương tôi	đoàn việt hùng	lk-cau-vong-khuyet-dung-thuong-toi-hung-mc
có buồn thì chia bớt cho anh	hiderway	co-buon-thi-chia-bot-cho-anh-hiderway
mưa đêm	b.o.m	mua-dem-b-o-m
điện thoại	tam ca thế hệ mới	dien-thoai-tam-ca-the-he-moi
vườn xưa	giang trang	vuon-xua-giang-trang
bước chân tình yêu	trần tâm	buoc-chan-tinh-yeu-tran-tam
gửi người con gái anh yêu	hồng sơn	gui-nguoi-con-gai-anh-yeu-hong-son
còn lại đêm	hứa nhất phong	con-lai-dem-hua-nhat-phong
vẫn yêu dù em bước đi	trương thế nhân	van-yeu-du-em-buoc-di-truong-the-nhan
xuân chờ anh	trang pháp	xuan-cho-anh-trang-phap
hoa thiên điểu	bảo thy	hoa-thien-dieu-bao-thy
nửa đời phóng đãng	cẩm vân	nua-doi-phong-dang-cam-van
biển nhớ (hòa tấu)	khánh ly	bien-nho-hoa-tau-khanh-ly
kỷ niệm học trò	luny tuấn hồ	ky-niem-hoc-tro-luny-tuan-ho
tình bạn tuổi học trò	đinh kiến phong	tinh-ban-tuoi-hoc-tro-dinh-kien-phong
nỗi đau cả một đời	lương gia hùng	noi-dau-ca-mot-doi-luong-gia-hung
hãy để anh cố quên đi	weboys	hay-de-anh-co-quen-di-weboys
thu sầu	lê duy	thu-sau-le-duy
đêm xuân nâng chén rượu nồng	trà trung trực	dem-xuan-nang-chen-ruou-nong-tra-trung-truc
tình yêu là gì?	lưu bảo huy	tinh-yeu-la-gi-luu-bao-huy
để lòng ta hát	kimmese	de-long-ta-hat-kimmese
nói với lòng mình	nam khánh	noi-voi-long-minh-nam-khanh
khi lệ anh rơi	chí hướng	khi-le-anh-roi-chi-huong
em luôn đúng	denz lil' tvk	em-luon-dung-lil-tvk-denz
tôi yêu manbo	việt quang	toi-yeu-manbo-viet-quang
tình khúc	nathan lee	tinh-khuc-nathan-lee
mong tình yêu quay về	ngô trác linh	mong-tinh-yeu-quay-ve-ngo-trac-linh
tủi thân	song sinh nghi	tui-than-song-sinh-nghi
con tim đen	vương khánh	con-tim-den-vuong-khanh
đừng điêu	bigdaddy yanbi	dung-dieu-yanbi-bigdaddy
dường như em quá vô tình	ưng đại vệ	duong-nhu-em-qua-vo-tinh-ung-dai-ve
mùa yêu thương	trần mỹ ngọc	mua-yeu-thuong-tran-my-ngoc
điệp khúc samba	gia linh	diep-khuc-samba-gia-linh
điều kì diệu từ anh	m.o.m	dieu-ki-dieu-tu-anh-m-o-m-band
khát vọng tình yêu	nsưt thái bảo	khat-vong-tinh-yeu-nsut-thai-bao
tim ơi đừng lên tiếng	lâm chí khanh	tim-oi-dung-len-tieng-lam-chi-khanh
buồn hát lý chờ mong	cát tuyền	buon-hat-ly-cho-mong-cat-tuyen
tình yều nào phải trò chơi	hoàng thiên khánh	tinh-yeu-nao-phai-tro-choi-hoang-thien-khanh
thà trắng thà đen (mất nhau rồi)	dương hồ hải	tha-trang-tha-den-mat-nhau-roi-duong-ho-hai
intro - nhạc tình muôn thuở ii	dương triệu vũ	intro-nhac-tinh-muon-thuo-ii-duong-trieu-vu
chia tay tuổi học trò (sỏi đá cũng biết yêu ost)	liya nguyễn	chia-tay-tuoi-hoc-tro-soi-da-cung-biet-yeu-ost-liya-nguyen
khuất xa trong dịu êm	f.u	khuat-xa-trong-diu-em-f-u
âm nhạc….	bé phương nhi	am-nhac-be-phuong-nhi
bất động	macthediablo	bat-dong-macthediablo
tết đong đầy	kay trần khoa	tet-dong-day-kay-tran-khoa
lk tim khóc	lâm chấn kiệt	lk-tim-khoc-lam-chan-kiet
khi teen nhớ anh	vũ trâm anh	khi-teen-nho-anh-vu-tram-anh
thời sinh viên	việt quang	thoi-sinh-vien-viet-quang
bên em	brother a tuấn anh	ben-em-brother-a-tuan-anh
tôi không muốn nói lời từ biệt	ngọc sơn	toi-khong-muon-noi-loi-tu-biet-ngoc-son
sẽ luôn đợi nhau	lương bích hữu đăng khôi	se-luon-doi-nhau-luong-bich-huu-dang-khoi
nỗi đau chưa vơi	huỳnh nhật đông	noi-dau-chua-voi-huynh-nhat-dong
mộng si tình	pham karo	mong-si-tinh-pham-karo
duyên yêu	hà my	duyen-yeu-tran-vu-ha-my
trả tự do cho nhau	châu phương kỳ	tra-tu-do-cho-nhau-chau-phuong-ky
gần em một phút thôi (yêu em không dễ ost)	đỗ thụy khanh	gan-em-mot-phut-thoi-yeu-em-khong-de-ost-do-thuy-khanh
linh hồn và thể xác & con ma	anh tú thu phương	linh-hon-va-the-xac-con-ma-thu-phuong-anh-tu
offline mãi mãi	t0n uriboo	offline-mai-mai-uriboo-t0n
siêu nhân & thiên thần	hata trần trọng hiếu	sieu-nhan-thien-than-hata-tran-trong-hieu
yêu là thế	lyan	yeu-la-the-lyan
đến chỉ một lần	nguyễn hồng thuận	den-chi-mot-lan-nguyen-hong-thuan
gửi lại cho nắng	nhất thiên bảo	gui-lai-cho-nang-nhat-thien-bao
chỉ có anh thôi	b girl	chi-co-anh-thoi-b-girl
con mãi là con của cha mẹ	adam lâm	con-mai-la-con-cua-cha-me-adam-lam
tình yêu lên ngôi	helen trần lương gia huy	tinh-yeu-len-ngoi-luong-gia-huy-helen-tran
vĩnh biệt người tình	anh tú	vinh-biet-nguoi-tinh-anh-tu
lk không bao giờ quên em	peto	lk-khong-bao-gio-quen-em-peto
trống rỗng	nhất minh	trong-rong-nhat-minh
hỏi ai	bùi tuyết mai	hoi-ai-bui-tuyet-mai
con đường mang tên	nqp	con-duong-mang-ten-nqp
mất bao nhiêu thời gian để quên	ninh bảo văn	mat-bao-nhieu-thoi-gian-de-quen-ninh-bao-van
đêm vũ trường (nỗi lòng người thiếu nữ)	lý hào nam	dem-vu-truong-noi-long-nguoi-thieu-nu-ly-hao-nam
tôi không chịu thua	minh thuận nhật hào	toi-khong-chiu-thua-minh-thuan-nhat-hao
vẫn ngỡ như là	bảo thy	van-ngo-nhu-la-bao-thy
bên em là điều không thể nữa rồi	thành đại siêu	ben-em-la-dieu-khong-the-nua-roi-thanh-dai-sieu
tình đâu dang dỡ	lâm quang long	tinh-dau-dang-do-lam-quang-long
mãi là người hùng	thiên khôi	mai-la-nguoi-hung-be-thien-khoi
ngu ngơ giả vờ	akira phan phương gia linh	ngu-ngo-gia-vo-phuong-gia-linh-akira-phan
tình vẫn mãi cách xa	lâm hùng	tinh-van-mai-cach-xa-lam-hung
noel nhớ người	nam hee	noel-nho-nguoi-nam-hee
nơi đó em có nhớ anh không	lâm vĩnh phát	noi-do-em-co-nho-anh-khong-lam-vinh-phat
sẽ để anh ra đi	trịnh thăng bình yến nhi	se-de-anh-ra-di-yen-nhi-trinh-thang-binh
như ngọn buồn rơi	trần ngọc tuấn	nhu-ngon-buon-roi-tran-ngoc-tuan
chỉ là dĩ vãng	thúy khanh	chi-la-di-vang-thuy-khanh
chằng yêu anh đâu	don nguyễn sơn ca	chang-yeu-anh-dau-son-ca-don-nguyen
chúc phúc mùa xuân	bé ngọc ngân	chuc-phuc-mua-xuan-be-ngoc-ngan
đêm nhớ anh	gia linh	dem-nho-anh-gia-linh
tommy tèo	nhật cường	tommy-teo-nhat-cuong
lời kinh nguyện trầm	hương lan lm.jb.nguyễn sang	loi-kinh-nguyen-tram-lm-jb-nguyen-sang-huong-lan
mùa xuân lá khô	diễm quỳnh quang minh	mua-xuan-la-kho-diem-quynh-quang-minh
chàng	quỳnh vi	chang-quynh-vi
giáo đường im bóng	hồ trung dũng thanh ngọc	giao-duong-im-bong-thanh-ngoc-ho-trung-dung
khi mưa	đông nhi	khi-mua-dong-nhi
nẻo đường kỷ niệm	vi châu	neo-duong-ky-niem-vi-chau
đã cho em biết yêu lần nữa	thu thủy	da-cho-em-biet-yeu-lan-nua-thu-thuy
nắng lên xóm nghèo	bảo hân bolero	nang-len-xom-ngheo-bao-han-bolero
vạt áo trong mơ	hồng kim hạnh	vat-ao-trong-mo-hong-kim-hanh
bước đến sau	oplus	buoc-den-sau-oplus
quên anh em ổn mà	andyshin kid td	quen-anh-em-on-ma-andyshin-kid-td
đừng quay về dĩ vãng	lưu gia bảo	dung-quay-ve-di-vang-luu-gia-bao
đơn giản chỉ là nhớ	jak nguyễn	don-gian-chi-la-nho-nguyen-xuan-lan
xa nhau từ đây (ost hùng bá thiên hạ)	khởi my	xa-nhau-tu-day-ost-hung-ba-thien-ha-khoi-my
đường tình hai lối	thiên trường	duong-tinh-hai-loi-thien-truong
sét	minh vương m4u nhóm 8x	set-minh-vuong-m4u-nhom-8x
sao em mất anh	kim tiểu phương	sao-em-mat-anh-kim-tieu-phuong
vợ là nhất	lê bảo bình	vo-la-nhat-le-bao-binh
anh đã nhìn lầm em	asa lợi emo	anh-da-nhin-lam-em-asa-loi-emo-203
mang chủng (ngốc thì sao nào)	hoàng y nhung	mang-chung-ngoc-thi-sao-nao-hoang-y-nhung
gửi người phụ nữ	ngọc liên	gui-nguoi-phu-nu-ngoc-lien
xuân pha lê	đoan trang	xuan-pha-le-doan-trang
màu xanh kỷ niệm	diễm thùy	mau-xanh-ky-niem-diem-thuy
đừng bỏ anh mà đi	đoàn nhật phương	dung-bo-anh-ma-di-doan-nhat-phuong
mộng liêu trai	1088	mong-lieu-trai-1088
anh lính trẻ	nâu	anh-linh-tre-tikay
chắc anh sẽ nhớ em nhiều	anh quân idol bằng cường	chac-anh-se-nho-em-nhieu-anh-quan-idol-bang-cuong
giã bạn đêm trăng	lê anh dũng ngọc ký	gia-ban-dem-trang-ngoc-ky-le-anh-dung
tiền dễ kiếm tình khó tìm	hot boy xăm trổ (hoàng anh lê)	tien-de-kiem-tinh-kho-tim-hoang-anh-le
nối lại tình xưa	bạch lan lương quốc thiên	noi-lai-tinh-xua-luong-quoc-thien-bach-lan
cầm sư	lee phú quý	cam-su-lee-phu-quy
hãy để cho tôi được quên em	m4u	hay-de-cho-toi-duoc-quen-em-m4u
gốc phố dịu dàng	miko lan trinh	goc-pho-diu-dang-lan-trinh
intro nhớ đến em	nguyên khang	intro-nho-den-em-nguyen-khang
yêu nhanh	trương như anh	yeu-nhanh-truong-nhu-anh
trăng đường phố	bé bảo an	trang-duong-pho-be-bao-an
chế hằng tôi	phú tiến phú	che-hang-toi-phu-tien-phu
tùy hứng qua cầu	mỹ anh	tuy-hung-qua-cau-my-anh
phố cũ mưa bay	ngọc hương	pho-cu-mua-bay-ngoc-huong
lời tôi ru	nguyễn đình thanh tâm	loi-toi-ru-nguyen-dinh-thanh-tam
phương buồn	trung quang	phuong-buon-trung-quang
điều khó nói	hồng hải	dieu-kho-noi-hong-hai
đã thành một thói quen	hoàng châu	da-thanh-mot-thoi-quen-hoang-chau
khúc độc hành	hồ quang hiếu	khuc-doc-hanh-ho-quang-hieu
hát gọi mặt trời	trịnh nhật minh	hat-goi-mat-troi-trinh-nhat-minh
cố vẽ nụ cười	hoàng anh cường	co-ve-nu-cuoi-hoang-anh-cuong
thành phố miền quan họ	trịnh nhật minh	thanh-pho-mien-quan-ho-trinh-nhat-minh
tìm lại chính tôi	ngô khải hy	tim-lai-chinh-toi-ngo-khai-hy
nắng theo em	yang	nang-theo-em-yang
vì sao người đau khổ là tôi	minh thuận nhật hào	vi-sao-nguoi-dau-kho-la-toi-minh-thuan-nhat-hao
được mùa	thanh thúy	duoc-mua-thanh-thuy
nuối tiếc một vòng tay	nguyễn hoàng duy thu thủy	nuoi-tiec-mot-vong-tay-thu-thuy-nguyen-hoang-duy
lk bài toán tình yêu	akira phan	lk-bai-toan-tinh-yeu-akira-phan
nỗi đau âm thầm	giang hồng ngọc	noi-dau-am-tham-giang-hong-ngoc
tình yêu không nhạt phai	đặng quyền huy	tinh-yeu-khong-nhat-phai-dang-quyen-huy
xóa đi	jaym	xoa-di-jaym
khi nào gió lên	đức tiến	khi-nao-gio-len-duc-tien
lời thầy cô	1088	loi-thay-co-1088
chỉ vì quá tin bạn	tống gia vỹ	chi-vi-qua-tin-ban-tong-gia-vy
vai chính vai phụ	tú quyên	vai-chinh-vai-phu-tu-quyen
không ai tuyệt vời như em	bằng cường	khong-ai-tuyet-voi-nhu-em-bang-cuong
hơi ấm trong anh	ngô công phước	hoi-am-trong-anh-ngo-cong-phuoc
đẹp như em bình dương	yên nhiên	dep-nhu-em-binh-duong-yen-nhien
người nặng tình	nhật kim anh	nguoi-nang-tinh-nhat-kim-anh
thiên đường tigôn	đặng anh tuấn	thien-duong-tigon-dang-anh-tuan
gọi yêu thương	lưu bá vĩnh	goi-yeu-thuong-luu-ba-vinh
sông cầu quê tôi	nguyễn đức quang	song-cau-que-toi-nguyen-duc-quang
mưa buồn chiều vắng em	lê sơn tùng	mua-buon-chieu-vang-em-le-son-tung
hàn mặc tử ( vọng cổ)	hoàng thiên khánh	han-mac-tu-vong-co-hoang-thien-khanh
hương thơm kỳ diệu	quỳnh vi	huong-thom-ky-dieu-quynh-vi
vẫn yêu em	đoàn khánh dương	van-yeu-em-doan-khanh-duong
lk phận má hồng	kiwi ngô mai trang	lk-phan-ma-hong-kiwi-ngo-mai-trang
như lục bình trôi	ngọc sơn	nhu-luc-binh-troi-ngoc-son
người yêu cũ	lt	nguoi-yeu-cu-lt
lk khoảnh cách - mưa	cao thái sơn	lk-khoanh-cach-mua-cao-thai-son
liên khúc cháu lên ba - bà ơi bà	michael trọng nguyên	lien-khuc-chau-len-ba-ba-oi-ba-michael-trong-nguyen
không phải lỗi do em	trần lê quỳnh	khong-phai-loi-do-em-tran-le-quynh
vì đó là anh	tuệ linh	vi-do-la-anh-tue-linh
tình ðơn phương	lynda trang đài	tinh-on-phuong-lynda-trang-dai
nơi anh là hạnh phúc	hồ quang lộc	noi-anh-la-hanh-phuc-ho-quang-loc
tan trong mưa bay	đỗ minh quân	tan-trong-mua-bay-do-minh-quan
ước mơ thành sự thật	mây trắng	uoc-mo-thanh-su-that-may-trang
lời nói dối không thật	lâm kiến đơn	loi-noi-doi-khong-that-lam-kien-don
tình yêu thấu tận trời xanh	võ phi	tinh-yeu-thau-tan-troi-xanh-vo-phi
ôm trọn nỗi nhớ	rum	om-tron-noi-nho-rum
anh còn thương em	lê trọng hiếu	anh-con-thuong-em-le-trong-hieu
ố ố ố tình	don hồ hạ vy	o-o-o-tinh-don-ho-ha-vy
mùa đông vu vơ	sendoh	mua-dong-vu-vo-sendoh
em của ngày hôm kia	avatar boys	em-cua-ngay-hom-kia-avatar-boys
khi anh nhớ em	hoàng anh	khi-anh-nho-em-hoang-anh
đồ hoa mặt trời	elbi	do-hoa-mat-troi-elbi
bài ka tuổi trẻ	nhiều nghệ sĩ	bai-ka-tuoi-tre-jgkid-emcee-l-krazinoyze-linh-cao
một ngày ta xa nhau	đinh quốc anh	mot-ngay-ta-xa-nhau-dinh-quoc-anh
với em anh sẽ number one	yuki huy nam	voi-em-anh-se-number-one-yuki-huy-nam
lời hẹn với huế	long nhật	loi-hen-voi-hue-long-nhat
sao lòng còn thương	đinh quốc cường	sao-long-con-thuong-dinh-quoc-cuong
mưa bất tận	mr reno	mua-bat-tan-reno-binh
chạm vào quá khứ	đoàn di băng	cham-vao-qua-khu-doan-di-bang
kiếp sau đừng gặp nhau	cm1x insolent ryan	kiep-sau-dung-gap-nhau-ryan-insolent-cm1x
tan trong hư vô	lê vũ bình	tan-trong-hu-vo-le-vu-binh
phương xa mình anh	vân quang long	phuong-xa-minh-anh-van-quang-long
có những khi buồn	hồ tuấn anh	co-nhung-khi-buon-ho-tuan-anh
chỉ vì yêu	hứa thanh dung	chi-vi-yeu-hua-thanh-dung
giã biệt nhỏ yêu	phạm thành	gia-biet-nho-yeu-pham-thanh
hãy nhìn về tương lai ( solo)	phan đinh tùng	hay-nhin-ve-tuong-lai-solo-phan-dinh-tung
sa mạc tình yêu	băng châu trần	sa-mac-tinh-yeu-bang-chau-tran
khi mẹ già rồi	lee phú quý	khi-me-gia-roi-lee-phu-quy
vỡ intro	kick	vo-intro-kick
chuyện tình mộng thường - vòng tay giữ trọn ân tình - tình là sợi tơ - ba tháng tạ từ	hoàng lan mỹ huyền thế sơn	chuyen-tinh-mong-thuong-vong-tay-giu-tron-an-tinh-tinh-la-soi-to-ba-thang-ta-tu-hoang-lan-the-son-my-huyen
ngày đó ta yêu nhau	lê uyên nhi	ngay-do-ta-yeu-nhau-le-uyen-nhi
không đáng để yêu	hồ lệ thu kim tử long	khong-dang-de-yeu-kim-tu-long-ho-le-thu
hoài vọng	đỗ xuân sơn	hoai-vong-do-xuan-son
liên khúc tha hương nhớ quê - quê hương bỏ lại	đông nguyễn	lien-khuc-tha-huong-nho-que-que-huong-bo-lai-dong-nguyen
như cái lò	sambi	nhu-cai-lo-sambi-mr-a
mơ một ngày gặp mẹ	hà thúy anh	mo-mot-ngay-gap-me-ha-thuy-anh
người đi xa mãi	bằng kiều	nguoi-di-xa-mai-bang-kieu
liều thuốc yêu	lưu nhật hào	lieu-thuoc-yeu-luu-nhat-hao
ơi người đẹp	đinh tiến đạt (mr dee)	oi-nguoi-dep-dinh-tien-dat-mr-dee
chuyện nhỏ như con thỏ	huyền thoại	chuyen-nho-nhu-con-tho-huyen-thoai
lần đầu tiên gặp em	vũ minh vương	lan-dau-tien-gap-em-vu-minh-vuong
phía sau ánh mắt	ty nguyễn	phia-sau-anh-mat-ty-nguyen
giống như em	triệu minh	giong-nhu-em-trieu-minh
đổ lỗi	trương khải minh	do-loi-truong-khai-minh
túp lều lý  tưởng	phương trinh jolie	tup-leu-ly-tuong-phuong-trinh-jolie
em vẫn mỉm cười	lee kim my	em-van-mim-cuoi-lee-kim-my
người đã quên	diễm thùy	nguoi-da-quen-diem-thuy
từ nay còn ta với ta lưu lạc	lee phú quý	tu-nay-con-ta-voi-ta-luu-lac-lee-phu-quy
đường mưa không còn rơi	doll phan hiếu nguyên thanh phong	duong-mua-khong-con-roi-nguyen-thanh-phong-doll-phan-hieu
tình cũ không dễ quên	châu thái long	tinh-cu-khong-de-quen-chau-thai-long
chuyền tình hoa muống biển	thanh tuyền	chuyen-tinh-hoa-muong-bien-thanh-tuyen
yêu thương quay về	chánh mạnh	yeu-thuong-quay-ve-chanh-manh
chờ hoài giấc mơ	akio lee akira phan	cho-hoai-giac-mo-akio-lee-akira-phan
ve mực mồng tơi	thanh hương	ve-muc-mong-toi-thanh-huong
gọi tên tôi nhé bạn thân hỡi	ngô thủy tiên	goi-ten-toi-nhe-ban-than-hoi-ngo-thuy-tien
nhật thực	cát tuyền	nhat-thuc-cat-tuyen
quên đường về	băng tình	quen-duong-ve-bang-tinh
chỉ muốn quên em	vũ khánh dương	chi-muon-quen-em-vu-khanh-duong
đừng nói trước bước không qua	lâm chấn hải	dung-noi-truoc-buoc-khong-qua-lam-chan-hai
lối vắng	n9	loi-vang-n9
mashup đông nhi	team a	mashup-dong-nhi-team-a
hãy tin vào chính mình	anh thúy	hay-tin-vao-chinh-minh-anh-thuy
tình xưa (scarborough fair)	ac m	tinh-xua-scarborough-fair-ac-m
tình đá bao dung	đức tiến	tinh-da-bao-dung-duc-tien
đắng cay lời cuối	lệ quyên	dang-cay-loi-cuoi-le-quyen
dance chúc xuân	lý hào nam	dance-chuc-xuan-ly-hao-nam
diệu pháp liên hoa	bé ngọc ngân	dieu-phap-lien-hoa-be-ngoc-ngan
còn đâu ngày ấy	mây trắng	con-dau-ngay-ay-may-trang
và tôi muốn thấy	phạm kỳ anh	va-toi-muon-thay-pham-ky-anh
về	dương trần nghĩa lk	ve-duong-tran-nghia-lk
tại sao ta chia tay	lưu gia bảo	tai-sao-ta-chia-tay-luu-gia-bao
trái tim tự hỏi	phi thúy hạnh	trai-tim-tu-hoi-phi-thuy-hanh
lk ký ức nàng siêu nhân	tuấn kc	lk-ky-uc-nang-sieu-nhan-tuan-kc
ký ức không tên	tạ quang thắng	ky-uc-khong-ten-ta-quang-thang
nếu em không phải một giấc mơ	thủy tiên	neu-em-khong-phai-mot-giac-mo-thuy-tien
tháng năm bên nhau	hồ quỳnh hương	thang-nam-ben-nhau-ho-quynh-huong
trễ hẹn	hoàng thiên long ngô trác linh	tre-hen-hoang-thien-long-ngo-trac-linh
anh có đáng để tôi yêu	hoàng trang	anh-co-dang-de-toi-yeu-hoang-trang
người mẹ quét rác	maxt bảo nam sendoh	nguoi-me-quet-rac-sendoh-maxt-bao-nam
tại sao anh gạt em	vĩnh thuyên kim	tai-sao-anh-gat-em-vinh-thuyen-kim
